Callibaetis,カゲロウ属の一種,動物界:節足動物門:昆虫綱:蜉蝣目:コカゲロウ科:Callibaetis属,Callibaetis属のカゲロウは、主に静水域（池や湖）や緩やかな流れの河川に生息しています。
Lestes,アオイトトンボ属,動物界:節足動物門:昆虫綱:蜻蛉目:アオイトトンボ科:アオイトトンボ属,アオイトトンボ属のトンボは、主に池や沼、湿地など、植物の豊富な静水域の近くに生息しています。
Coenagrion,イトトンボ属,動物界:節足動物門:昆虫綱:蜻蛉目:イトトンボ科:イトトンボ属,イトトンボ属のトンボは、主に静水域（池や沼）や緩やかな流れの河川など、植物の豊富な水辺環境に生息しています。
Tramea,ウスバキトンボ属,動物界:節足動物門:昆虫綱:蜻蛉目:トンボ科:ウスバキトンボ属,ウスバキトンボ属のトンボは、主に開けた水域（池や湖）の近くに生息し、長距離を飛行することができます。
Aeshnidae,ヤンマ科,動物界:節足動物門:昆虫綱:蜻蛉目:ヤンマ亜目:ヤンマ科,ヤンマ科のトンボは、主に大きな池や湖、ゆっくりとした流れの河川など、開けた水域の近くに生息しています。
Anax junius,ギンヤンマ,動物界:節足動物門:昆虫綱:蜻蛉目:ヤンマ科:ギンヤンマ,ギンヤンマは、主に大きな池や湖、ゆっくりとした流れの河川など、開けた水域の近くに生息しています。
Ephemeroptera,カゲロウ目,動物界:節足動物門:昆虫綱:蜉蝣目,カゲロウ目の昆虫は、主に清浄な淡水環境に生息しており、河川や湖沼の近くで見られます。
Odonata,トンボ目,動物界:節足動物門:昆虫綱:蜻蛉目,トンボ目の昆虫は、主に淡水域の近くに生息しており、池、湖、川、湿地などの水辺環境で見られます。
Gerridae,アメンボ科,動物界:節足動物門:昆虫綱:半翅目:アメンボ科,アメンボ科の昆虫は、主に淡水の水面に生息しており、池、湖、ゆっくりとした流れの河川などで見られます。
Heteroptera,カメムシ亜目,動物界:節足動物門:昆虫綱:半翅目:カメムシ亜目,カメムシ亜目の昆虫は、陸上および水生環境の両方に生息しており、植物、土壌、水面など、さまざまな場所で見られます。
Miridae,カスミカメムシ科,動物界:節足動物門:昆虫綱:半翅目:カメムシ亜目:カスミカメムシ科,カスミカメムシ科の昆虫は、主に植物の葉や花に生息し、森林、草原、農地などで見られます。
Notonecta,マツモムシ属,動物界:節足動物門:昆虫綱:半翅目:マツモムシ科:マツモムシ属,マツモムシ属の昆虫は、主に静水域（池や沼）に生息する水生昆虫で、水面下で生活しています。
Hesperocorixa,ミズムシ属,動物界:節足動物門:昆虫綱:半翅目:ミズムシ科:ミズムシ属,ミズムシ属の昆虫は、主に淡水の池や沼、ゆっくりとした流れの河川など、植物の多い水域に生息しています。
Hemiptera,カメムシ目,動物界:節足動物門:昆虫綱:半翅目,カメムシ目の昆虫は、陸上および水生環境の両方に生息しており、植物の葉や茎、果実などに多く見られます。
Ceratopogonidae,ヌカカ科,動物界:節足動物門:昆虫綱:双翅目:ヌカカ科,ヌカカ科の昆虫は、主に湿った環境に生息しており、森林、湿地、水辺など、水分の多い場所で見られます。
Ephydridae,ミギワバエ科,動物界:節足動物門:昆虫綱:双翅目:ミギワバエ科,ミギワバエ科のハエは、主に水辺や湿った環境に生息しており、海岸、塩湖、温泉など、多様な水辺環境で見られます。
Chironomidae,ユスリカ科,動物界:節足動物門:昆虫綱:双翅目:ユスリカ科,ユスリカ科の昆虫は、主に水生環境に生息しており、幼虫は淡水域（池、湖、河川）の底泥中で見られます。成虫は水辺に群れを作ります。
Diptera,ハエ目,動物界:節足動物門:昆虫綱:双翅目,ハエ目の昆虫は、世界中のさまざまな環境に生息していますが、特に有機物が豊富な場所や水辺環境に多く見られます。
Curculionidae,ゾウムシ科,動物界:節足動物門:昆虫綱:鞘翅目:ゾウムシ上科:ゾウムシ科,ゾウムシ科の昆虫は、主に植物に依存して生活しており、森林、草原、農地など、植物の豊富な環境に多く生息しています。
Coleoptera,コウチュウ目,動物界:節足動物門:昆虫綱:鞘翅目,コウチュウ目の昆虫は、森林、草原、砂漠、水中など、ほぼすべての陸上生態系に生息しています。
Formicidae,アリ科,動物界:節足動物門:昆虫綱:膜翅目:アリ上科:アリ科,アリは世界中のほぼすべての陸上環境に生息しており、森林、草原、砂漠、都市部など、多様な環境に適応しています。
Hymenoptera,ハチ目,動物界:節足動物門:昆虫綱:膜翅目,ハチ目の昆虫は、森林、草原、都市部など、さまざまな環境に適応しています。多くの種は花の多い場所に生息しています。
Anthanassa,タテハチョウ科の一種,動物界:節足動物門:昆虫綱:鱗翅目:タテハチョウ科:Anthanassa属,Anthanassa属のチョウは、主に北米から南米にかけての草原や開けた森林地帯に生息しています。
Lepidoptera,チョウ目,動物界:節足動物門:昆虫綱:鱗翅目,チョウ目の昆虫は、花の豊富な草原、森林、庭園など、植物が豊富な環境に多く生息しています。
Orthoptera,バッタ目,動物界:節足動物門:昆虫綱:直翅目,バッタ目の昆虫は、主に草原や森林の縁、農地などの開けた環境に生息しています。
Arrenurus,ミズダニ属,動物界:節足動物門:クモ綱:ダニ目:ケンミジンコダニ科:ミズダニ属,ミズダニ属のダニは、主に淡水環境（池、湖、湿地）に生息する水生ダニです。
Araneae,クモ目,動物界:節足動物門:クモ綱:クモ目,クモ類は、森林、草原、砂漠、都市部など、世界中のほぼすべての陸上環境に生息しています。
Gastropoda,腹足綱,動物界:軟体動物門:腹足綱,腹足類（カタツムリやナメクジなど）は、陸上および水中の両方に生息しており、森林、草原、湿地、海洋など多様な環境に適応しています。
Halipegus,吸虫の一種,動物界:扁形動物門:吸虫綱:Halipegus属,Halipegus属の吸虫は、主に両生類の消化管に寄生しており、その生活環の一部を水生環境で過ごします。
Gregarinidae,グレガリナ科,原生生物界:アピコンプレクサ門:グレガリナ綱:グレガリナ目:グレガリナ科,グレガリナ科の原生生物は、主に無脊椎動物（特に節足動物や環形動物）の消化管内に寄生しています。